id; url; artigo
http://lattes.cnpq.br/4813274272186166; 4813274272186166; 2014-09-02_S0011-52581996000300001.html
http://lattes.cnpq.br/9553948784876674; 9553948784876674; 2014-09-02_S0011-52581996000300002.html
http://lattes.cnpq.br/8171519623109135; 8171519623109135; 2014-09-02_S0011-52581996000300003.html
http://lattes.cnpq.br/4161307140465507; 4161307140465507; 2014-09-02_S0011-52581996000300005.html
http://lattes.cnpq.br/1959285307720446; 1959285307720446; 2014-09-02_S0011-52581996000300006.html
http://lattes.cnpq.br/9607699162350414; 9607699162350414; 2014-09-02_S0011-52581996000300006.html
http://lattes.cnpq.br/8824778325312068; 8824778325312068; 2014-09-02_S0011-52581996000300007.html
http://lattes.cnpq.br/2622654700739335; 2622654700739335; 2014-09-02_S0011-52581997000100002.html
http://lattes.cnpq.br/7328436989491201; 7328436989491201; 2014-09-02_S0011-52581997000100004.html
http://lattes.cnpq.br/9692020023009222; 9692020023009222; 2014-09-02_S0011-52581997000100006.html
http://lattes.cnpq.br/2468028807671937; 2468028807671937; 2014-09-02_S0011-52581997000200001.html
http://lattes.cnpq.br/0635042395741656; 0635042395741656; 2014-09-02_S0011-52581997000200002.html
http://lattes.cnpq.br/4930404695775517; 4930404695775517; 2014-09-02_S0011-52581997000200003.html
http://lattes.cnpq.br/4268492948743246; 4268492948743246; 2014-09-02_S0011-52581997000200004.html
http://lattes.cnpq.br/5321036427335727; 5321036427335727; 2014-09-02_S0011-52581997000200005.html
http://lattes.cnpq.br/8745974666472766; 8745974666472766; 2014-09-02_S0011-52581997000200006.html
http://lattes.cnpq.br/1911899537342394; 1911899537342394; 2014-09-02_S0011-52581997000300003.html
http://lattes.cnpq.br/1292218358434538; 1292218358434538; 2014-09-02_S0011-52581997000300004.html
http://lattes.cnpq.br/4142292585628714; 4142292585628714; 2014-09-02_S0011-52581997000300005.html
http://lattes.cnpq.br/8943202390147507; 8943202390147507; 2014-09-02_S0011-52581997000300008.html
http://lattes.cnpq.br/3248653062660478; 3248653062660478; 2014-09-02_S0011-52581998000100002.html
http://lattes.cnpq.br/3929731791130894; 3929731791130894; 2014-09-02_S0011-52581998000100003.html
http://lattes.cnpq.br/3273000829450838; 3273000829450838; 2014-09-02_S0011-52581998000100005.html
http://lattes.cnpq.br/3010269649012500; 3010269649012500; 2014-09-02_S0011-52581998000200001.html
http://lattes.cnpq.br/3259216014182020; 3259216014182020; 2014-09-02_S0011-52581998000200002.html
http://lattes.cnpq.br/5089887428145825; 5089887428145825; 2014-09-02_S0011-52581998000200004.html
http://lattes.cnpq.br/2473628350274931; 2473628350274931; 2014-09-02_S0011-52581998000300001.html
